way,acc_mean,acc_std,learning_rate,n_estimators
l_StratKFold_0.83,0.821945,0.040393,0.01,220.0
l_StratKFold_0.83,0.825368,0.043501,0.05,40.0
l_StratKFold_0.83,0.819678,0.037657,0.05,60.0
l_StratKFold_0.83,0.823438,0.040706,0.05,80.0
l_StratKFold_0.83,0.830593,0.033378,0.05,100.0
l_StratKFold_0.83,0.831382,0.033063,0.05,120.0
l_StratKFold_0.83,0.829565,0.03062,0.05,140.0
l_StratKFold_0.83,0.829608,0.028351,0.05,160.0
l_StratKFold_0.83,0.828946,0.028568,0.05,180.0
l_StratKFold_0.83,0.828255,0.027943,0.05,200.0
l_StratKFold_0.83,0.827777,0.027768,0.05,220.0
l_StratKFold_0.83,0.833748,0.04001,0.1,40.0
l_StratKFold_0.83,0.835438,0.036173,0.1,60.0
l_StratKFold_0.83,0.833748,0.032634,0.1,80.0
l_StratKFold_0.83,0.833833,0.031038,0.1,100.0
l_StratKFold_0.83,0.833706,0.031107,0.1,120.0
l_StratKFold_0.83,0.833157,0.029944,0.1,140.0
l_StratKFold_0.83,0.835438,0.028312,0.1,160.0
l_StratKFold_0.83,0.834931,0.028041,0.1,180.0
l_StratKFold_0.83,0.83472,0.027796,0.1,200.0
l_StratKFold_0.83,0.834171,0.027883,0.1,220.0
l_StratKFold_0.83,0.828269,0.030376,0.5,40.0
l_StratKFold_0.83,0.831847,0.032419,0.5,60.0
l_StratKFold_0.83,0.83348,0.033987,0.5,80.0
l_StratKFold_0.83,0.834804,0.035631,0.5,100.0
l_StratKFold_0.83,0.83603,0.036109,0.5,120.0
l_StratKFold_0.83,0.83517,0.03728,0.5,140.0
l_StratKFold_0.83,0.835494,0.036788,0.5,160.0
l_StratKFold_0.83,0.835213,0.036859,0.5,180.0
l_StratKFold_0.83,0.835382,0.03652,0.5,200.0
l_StratKFold_0.83,0.83617,0.03657,0.5,220.0
l_StratKFold_0.83,0.830438,0.037093,1.0,40.0
l_StratKFold_0.83,0.82979,0.035991,1.0,60.0
l_StratKFold_0.83,0.829903,0.037151,1.0,80.0
l_StratKFold_0.83,0.830762,0.036558,1.0,100.0
l_StratKFold_0.83,0.830297,0.036642,1.0,120.0
l_StratKFold_0.83,0.830509,0.036651,1.0,140.0
l_StratKFold_0.83,0.830635,0.036921,1.0,160.0
l_StratKFold_0.83,0.830593,0.037066,1.0,180.0
l_StratKFold_0.83,0.829861,0.037271,1.0,200.0
l_StratKFold_0.83,0.830311,0.03691,1.0,220.0
