way,acc_mean,acc_std,learning_rate,n_estimators
s_ts10_Nt40-400_0.81,0.808816,0.052815,0.01,320.0
s_ts10_Nt40-400_0.81,0.810025,0.053608,0.01,340.0
s_ts10_Nt40-400_0.81,0.808615,0.053278,0.01,360.0
s_ts10_Nt40-400_0.81,0.810428,0.053818,0.01,380.0
s_ts10_Nt40-400_0.81,0.808258,0.053708,0.05,40.0
s_ts10_Nt40-400_0.81,0.808754,0.052426,0.05,60.0
s_ts10_Nt40-400_0.81,0.809064,0.054392,0.05,80.0
s_ts10_Nt40-400_0.81,0.809591,0.052033,0.05,100.0
s_ts10_Nt40-400_0.81,0.81004,0.052224,0.05,120.0
s_ts10_Nt40-400_0.81,0.812349,0.052323,0.05,140.0
s_ts10_Nt40-400_0.81,0.812318,0.053268,0.05,160.0
s_ts10_Nt40-400_0.81,0.812101,0.053633,0.05,180.0
s_ts10_Nt40-400_0.81,0.811962,0.053846,0.05,200.0
s_ts10_Nt40-400_0.81,0.811326,0.054561,0.05,220.0
s_ts10_Nt40-400_0.81,0.811125,0.055062,0.05,240.0
s_ts10_Nt40-400_0.81,0.811094,0.055541,0.05,260.0
s_ts10_Nt40-400_0.81,0.811745,0.056568,0.05,280.0
s_ts10_Nt40-400_0.81,0.81097,0.056536,0.05,300.0
s_ts10_Nt40-400_0.81,0.810815,0.056458,0.05,320.0
s_ts10_Nt40-400_0.81,0.810846,0.056291,0.05,340.0
s_ts10_Nt40-400_0.81,0.811109,0.056278,0.05,360.0
s_ts10_Nt40-400_0.81,0.811078,0.05641,0.05,380.0
s_ts10_Nt40-400_0.81,0.810071,0.054091,0.1,40.0
s_ts10_Nt40-400_0.81,0.813077,0.05353,0.1,60.0
s_ts10_Nt40-400_0.81,0.813774,0.054537,0.1,80.0
s_ts10_Nt40-400_0.81,0.812287,0.055705,0.1,100.0
s_ts10_Nt40-400_0.81,0.811636,0.055935,0.1,120.0
s_ts10_Nt40-400_0.81,0.810428,0.055929,0.1,140.0
s_ts10_Nt40-400_0.81,0.808894,0.055687,0.1,160.0
s_ts10_Nt40-400_0.81,0.808181,0.055594,0.1,180.0
s_ts10_Nt40-400_0.81,0.808165,0.055589,0.1,200.0
s_ts10_Nt40-400_0.81,0.807871,0.056073,0.1,220.0
s_ts10_Nt40-400_0.81,0.807794,0.055914,0.1,240.0
s_ts10_Nt40-400_0.81,0.808243,0.05609,0.1,260.0
s_ts10_Nt40-400_0.81,0.808305,0.056312,0.1,280.0
s_ts10_Nt40-400_0.81,0.808522,0.056305,0.1,300.0
s_ts10_Nt40-400_0.81,0.80877,0.05639,0.1,320.0
s_ts10_Nt40-400_0.81,0.808909,0.05654,0.1,340.0
s_ts10_Nt40-400_0.81,0.809018,0.056326,0.1,360.0
s_ts10_Nt40-400_0.81,0.80846,0.056082,0.1,380.0
s_ts10_Nt40-400_0.81,0.809529,0.055578,0.5,40.0
s_ts10_Nt40-400_0.81,0.808196,0.055588,0.5,60.0
s_ts10_Nt40-400_0.81,0.807763,0.055539,0.5,80.0
s_ts10_Nt40-400_0.81,0.80784,0.055191,0.5,100.0
s_ts10_Nt40-400_0.81,0.807964,0.055569,0.5,120.0
s_ts10_Nt40-400_0.81,0.807654,0.055441,0.5,140.0
s_ts10_Nt40-400_0.81,0.807902,0.055549,0.5,160.0
s_ts10_Nt40-400_0.81,0.80784,0.055687,0.5,180.0
s_ts10_Nt40-400_0.81,0.80753,0.055899,0.5,200.0
s_ts10_Nt40-400_0.81,0.807577,0.055767,0.5,220.0
s_ts10_Nt40-400_0.81,0.807453,0.055707,0.5,240.0
s_ts10_Nt40-400_0.81,0.807561,0.05593,0.5,260.0
s_ts10_Nt40-400_0.81,0.807592,0.056055,0.5,280.0
s_ts10_Nt40-400_0.81,0.807639,0.056155,0.5,300.0
s_ts10_Nt40-400_0.81,0.807778,0.056253,0.5,320.0
s_ts10_Nt40-400_0.81,0.807809,0.056207,0.5,340.0
s_ts10_Nt40-400_0.81,0.808057,0.055615,0.5,360.0
s_ts10_Nt40-400_0.81,0.808227,0.055699,0.5,380.0
s_ts10_Nt40-400_0.81,0.809932,0.057065,1.0,40.0
s_ts10_Nt40-400_0.81,0.810676,0.056952,1.0,60.0
s_ts10_Nt40-400_0.81,0.810691,0.057299,1.0,80.0
s_ts10_Nt40-400_0.81,0.811311,0.057637,1.0,100.0
s_ts10_Nt40-400_0.81,0.811233,0.057614,1.0,120.0
s_ts10_Nt40-400_0.81,0.811543,0.057753,1.0,140.0
s_ts10_Nt40-400_0.81,0.811574,0.058126,1.0,160.0
s_ts10_Nt40-400_0.81,0.811729,0.058254,1.0,180.0
s_ts10_Nt40-400_0.81,0.811357,0.058363,1.0,200.0
s_ts10_Nt40-400_0.81,0.811187,0.05859,1.0,220.0
s_ts10_Nt40-400_0.81,0.811466,0.058468,1.0,240.0
s_ts10_Nt40-400_0.81,0.811404,0.05856,1.0,260.0
s_ts10_Nt40-400_0.81,0.81114,0.058894,1.0,280.0
s_ts10_Nt40-400_0.81,0.811156,0.058699,1.0,300.0
s_ts10_Nt40-400_0.81,0.811001,0.058801,1.0,320.0
s_ts10_Nt40-400_0.81,0.811404,0.058547,1.0,340.0
s_ts10_Nt40-400_0.81,0.811202,0.058913,1.0,360.0
s_ts10_Nt40-400_0.81,0.811264,0.058908,1.0,380.0
s_5fold_x,0.820412,0.040902,0.001,40.0
s_5fold_x,0.819116,0.04192,0.001,60.0
s_5fold_x,0.821074,0.041187,0.001,80.0
s_5fold_x,0.821679,0.040547,0.001,100.0
s_5fold_x,0.823059,0.041144,0.001,120.0
s_5fold_x,0.821933,0.040553,0.001,140.0
s_5fold_x,0.822299,0.040556,0.001,160.0
s_5fold_x,0.819707,0.043117,0.001,180.0
s_5fold_x,0.818369,0.043949,0.001,200.0
s_5fold_x,0.820003,0.043873,0.001,220.0
s_5fold_x,0.819905,0.043913,0.001,240.0
s_5fold_x,0.819552,0.042931,0.001,260.0
s_5fold_x,0.823834,0.03865,0.001,280.0
s_5fold_x,0.824397,0.038923,0.001,300.0
s_5fold_x,0.825693,0.038896,0.001,320.0
s_5fold_x,0.826003,0.038959,0.001,340.0
s_5fold_x,0.826088,0.038852,0.001,360.0
s_5fold_x,0.8252,0.038868,0.001,380.0
s_5fold_x,0.825383,0.038569,0.001,400.0
s_5fold_x,0.818412,0.044206,0.005,40.0
