way,acc_mean,acc_std,learning_rate,n_estimators,num_leaves
tf5_0.844,0.817122,0.042721,0.1,40.0,250.0
tf5_0.844,0.833314,0.050558,0.1,60.0,31.0
tf5_0.844,0.834835,0.053096,0.1,60.0,50.0
tf5_0.844,0.828446,0.0504,0.1,60.0,100.0
tf5_0.844,0.825843,0.050882,0.1,60.0,150.0
tf5_0.844,0.819099,0.043683,0.1,60.0,200.0
tf5_0.844,0.82275,0.044927,0.1,60.0,250.0
tf5_0.844,0.832012,0.046561,0.1,80.0,31.0
tf5_0.844,0.836052,0.051771,0.1,80.0,50.0
tf5_0.844,0.834091,0.048925,0.1,80.0,100.0
tf5_0.844,0.833584,0.048671,0.1,80.0,150.0
tf5_0.844,0.831657,0.046286,0.1,80.0,200.0
tf5_0.844,0.834801,0.049272,0.1,80.0,250.0
tf5_0.844,0.83159,0.045522,0.1,100.0,31.0
tf5_0.844,0.833973,0.048396,0.1,100.0,50.0
tf5_0.844,0.835443,0.050104,0.1,100.0,100.0
tf5_0.844,0.835849,0.049728,0.1,100.0,150.0
tf5_0.844,0.838215,0.049597,0.1,100.0,200.0
tf5_0.844,0.839719,0.051873,0.1,100.0,250.0
tf5_0.844,0.830592,0.046369,0.1,120.0,31.0
tf5_0.844,0.835595,0.048914,0.1,120.0,50.0
tf5_0.844,0.834598,0.050227,0.1,120.0,100.0
tf5_0.844,0.837421,0.051118,0.1,120.0,150.0
tf5_0.844,0.840852,0.052449,0.1,120.0,200.0
tf5_0.844,0.84026,0.052759,0.1,120.0,250.0
tf5_0.844,0.83284,0.046183,0.1,140.0,31.0
tf5_0.844,0.835207,0.049608,0.1,140.0,50.0
tf5_0.844,0.835849,0.049803,0.1,140.0,100.0
tf5_0.844,0.838131,0.050841,0.1,140.0,150.0
tf5_0.844,0.842711,0.052578,0.1,140.0,200.0
tf5_0.844,0.841934,0.052633,0.1,140.0,250.0
tf5_0.844,0.834801,0.046633,0.1,160.0,31.0
tf5_0.844,0.836102,0.050218,0.1,160.0,50.0
tf5_0.844,0.836474,0.049972,0.1,160.0,100.0
tf5_0.844,0.83688,0.050817,0.1,160.0,150.0
tf5_0.844,0.84332,0.053566,0.1,160.0,200.0
tf5_0.844,0.844063,0.053354,0.1,160.0,250.0
tf5_0.844,0.83546,0.047447,0.1,180.0,31.0
tf5_0.844,0.837269,0.050786,0.1,180.0,50.0
tf5_0.844,0.836846,0.050289,0.1,180.0,100.0
tf5_0.844,0.836576,0.050816,0.1,180.0,150.0
tf5_0.844,0.843201,0.053966,0.1,180.0,200.0
tf5_0.844,0.843455,0.05348,0.1,180.0,250.0
tf5_0.844,0.836491,0.047518,0.1,200.0,31.0
tf5_0.844,0.838164,0.050533,0.1,200.0,50.0
tf5_0.844,0.836812,0.050223,0.1,200.0,100.0
tf5_0.844,0.83644,0.050608,0.1,200.0,150.0
tf5_0.844,0.843015,0.053682,0.1,200.0,200.0
tf5_0.844,0.843641,0.05336,0.1,200.0,250.0
tf5_0.844,0.837471,0.048094,0.1,220.0,31.0
tf5_0.844,0.838722,0.05083,0.1,220.0,50.0
tf5_0.844,0.837556,0.050347,0.1,220.0,100.0
tf5_0.844,0.836474,0.050468,0.1,220.0,150.0
tf5_0.844,0.842694,0.05303,0.1,220.0,200.0
tf5_0.844,0.843708,0.05334,0.1,220.0,250.0
tf5_0.844,0.834446,0.04869,0.5,40.0,31.0
tf5_0.844,0.836119,0.05176,0.5,40.0,50.0
